Year,After,Ohio,School_District,Number_Tested,Pct_Prof_Or_Above,Tot_Pop,Perc_Male,Perc_Female,Perc_Under5,Perc_5to19,Perc_20Plus,Perc_Caucasian,Perc_OtherEthnicity,Perc_NoBach,Perc_BachPlus,Median_Inc
2008,0,1,"Kent City School District, Ohio",188,70.2,32308,0.45,0.55,0.04,0.09,0.86,0.87,0.13,0.58,0.42,32256
2013,1,1,"Kent City School District, Ohio",220,86.4,37191,0.48,0.52,0.04,0.1,0.87,0.84,0.16,0.56,0.44,36302
2008,0,1,"Kettering City School District, Ohio",547,83.2,55343,0.49,0.51,0.06,0.15,0.78,0.95,0.05,0.69,0.31,48460
2013,1,1,"Kettering City School District, Ohio",557,87.3,56291,0.48,0.52,0.05,0.16,0.78,0.91,0.09,0.71,0.29,44822
2008,0,1,"Kings Local School District, Ohio",286,87.8,24564,0.47,0.53,0.07,0.17,0.76,0.96,0.04,0.63,0.37,62434
2013,1,1,"Kings Local School District, Ohio",320,95.6,24796,0.49,0.51,0.04,0.18,0.77,0.96,0.04,0.55,0.45,73480
2008,0,1,"Lakewood City School District, Ohio",283,67.5,54210,0.48,0.52,0.06,0.15,0.78,0.91,0.09,0.62,0.38,44683
2013,1,1,"Lakewood City School District, Ohio",311,80.4,51372,0.48,0.52,0.06,0.14,0.81,0.87,0.13,0.59,0.41,40266
2008,0,1,"Lakota Local School District (Butler County), Ohio",1397,84.9,87731,0.5,0.5,0.09,0.22,0.69,0.87,0.13,0.54,0.46,86777
2013,1,1,"Lakota Local School District (Butler County), Ohio",1280,89.8,94775,0.49,0.51,0.07,0.23,0.71,0.83,0.17,0.54,0.46,79917
2008,0,1,"Lancaster City School District, Ohio",375,74.7,45293,0.49,0.51,0.06,0.15,0.79,0.95,0.05,0.85,0.15,45168
2013,1,1,"Lancaster City School District, Ohio",397,78.8,47019,0.49,0.51,0.06,0.16,0.78,0.95,0.05,0.83,0.17,36196
2008,0,1,"Lebanon City School District, Ohio",386,83.2,36709,0.55,0.45,0.06,0.18,0.77,0.9,0.1,0.74,0.26,66545
2013,1,1,"Lebanon City School District, Ohio",432,89.6,37779,0.56,0.44,0.06,0.17,0.78,0.89,0.11,0.7,0.3,58583
2008,0,1,"Lima City School District, Ohio",321,64.5,29729,0.47,0.53,0.08,0.2,0.72,0.68,0.32,0.91,0.09,30857
2013,1,1,"Lima City School District, Ohio",279,63.4,30304,0.49,0.51,0.08,0.18,0.73,0.69,0.31,0.9,0.1,26840
2013,1,0,"Linn-Mar Community School District, Iowa",482,87.3,38007,0.5,0.5,0.06,0.22,0.7,0.69,0.31,0.56,0.44,67374
2008,0,0,"Linn-Mar Community School District, Iowa",398,86.2,33480,0.48,0.52,0.08,0.21,0.71,0.92,0.08,0.6,0.4,66534
2008,0,1,"Little Miami Local School District, Ohio",312,88.8,26273,0.5,0.5,0.09,0.15,0.75,0.89,0.11,0.65,0.35,78657
2013,1,1,"Little Miami Local School District, Ohio",299,91,29392,0.48,0.52,0.08,0.18,0.74,0.89,0.11,0.6,0.4,66049
2008,0,1,"Logan-Hocking Local School District, Ohio",227,85.5,24117,0.48,0.52,0.06,0.17,0.77,0.94,0.06,0.9,0.1,42748
2013,1,1,"Logan-Hocking Local School District, Ohio",86,65.1,24166,0.49,0.51,0.05,0.18,0.77,0.95,0.05,0.85,0.15,38943
2008,0,1,"Lorain City School District, Ohio",620,53.6,56686,0.47,0.53,0.07,0.19,0.74,0.63,0.37,0.91,0.09,36037
2013,1,1,"Lorain City School District, Ohio",495,63.4,53337,0.47,0.53,0.06,0.2,0.73,0.71,0.29,0.9,0.1,29266
2008,0,1,"Loveland City School District, Ohio",387,85.5,28405,0.49,0.51,0.08,0.24,0.68,0.9,0.1,0.48,0.52,91549
