tot_pop_log,median_inc_log,year,after,ohio,school_district,number_tested,pct_prof_or_above,tot_pop,perc_male,perc_female,perc_under5,perc_5to19,perc_20plus,perc_caucasian,perc_otherethnicity,perc_nobach,perc_bachplus,median_inc,interaction
10.55911457318215,11.092564969345363,2008,0,1,"Jackson Local School District, Ohio",75,73.3,38526,0.48,0.52,0.06,0.19,0.75,0.92,0.08,0.61,0.39,65680,0
10.542785543610696,11.127336510866854,2013,1,1,"Jackson Local School District, Ohio",455,94.5,37902,0.51,0.49,0.05,0.16,0.79,0.92,0.08,0.59,0.41,68004,1
10.450452222917992,11.363705940321378,2013,1,0,"Johnston Community School District, Iowa",455,93.0,34559,0.48,0.52,0.06,0.22,0.73,0.9,0.1,0.47,0.53,86137,0
10.304944639246754,11.364030947288674,2008,0,0,"Johnston Community School District, Iowa",410,87.6,29879,0.48,0.52,0.09,0.2,0.7,0.91,0.09,0.55,0.45,86165,0
10.38310110816935,10.381490352934616,2008,0,1,"Kent City School District, Ohio",188,70.2,32308,0.45,0.55,0.04,0.09,0.86,0.87,0.13,0.58,0.42,32256,0
10.52384896337042,10.499655661466162,2013,1,1,"Kent City School District, Ohio",220,86.4,37191,0.48,0.52,0.04,0.1,0.87,0.84,0.16,0.56,0.44,36302,1
10.92132353117695,10.788514629733339,2008,0,1,"Kettering City School District, Ohio",547,83.2,55343,0.49,0.51,0.06,0.15,0.78,0.95,0.05,0.69,0.31,48460,0
10.938307708116458,10.710476679519195,2013,1,1,"Kettering City School District, Ohio",557,87.3,56291,0.48,0.52,0.05,0.16,0.78,0.91,0.09,0.71,0.29,44822,1
10.109077944602749,11.041881294549245,2008,0,1,"Kings Local School District, Ohio",286,87.8,24564,0.47,0.53,0.07,0.17,0.76,0.96,0.04,0.63,0.37,62434,0
10.118477957093951,11.204782148381804,2013,1,1,"Kings Local School District, Ohio",320,95.6,24796,0.49,0.51,0.04,0.18,0.77,0.96,0.04,0.55,0.45,73480,1
10.90063911886528,10.70737077469074,2008,0,1,"Lakewood City School District, Ohio",283,67.5,54210,0.48,0.52,0.06,0.15,0.78,0.91,0.09,0.62,0.38,44683,0
10.846868021600375,10.603287553926174,2013,1,1,"Lakewood City School District, Ohio",311,80.4,51372,0.48,0.52,0.06,0.14,0.81,0.87,0.13,0.59,0.41,40266,1
11.382041992081316,11.371108412301787,2008,0,1,"Lakota Local School District (Butler County), Ohio",1397,84.9,87731,0.5,0.5,0.09,0.22,0.69,0.87,0.13,0.54,0.46,86777,0
11.459271491634595,11.288756387984279,2013,1,1,"Lakota Local School District (Butler County), Ohio",1280,89.8,94775,0.49,0.51,0.07,0.23,0.71,0.83,0.17,0.54,0.46,79917,1
10.72092985236768,10.718166289816029,2008,0,1,"Lancaster City School District, Ohio",375,74.7,45293,0.49,0.51,0.06,0.15,0.79,0.95,0.05,0.85,0.15,45168,0
10.75832832209406,10.496731521451535,2013,1,1,"Lancaster City School District, Ohio",397,78.8,47019,0.49,0.51,0.06,0.16,0.78,0.95,0.05,0.83,0.17,36196,1
10.51080447649088,11.105648716832796,2008,0,1,"Lebanon City School District, Ohio",386,83.2,36709,0.55,0.45,0.06,0.18,0.77,0.9,0.1,0.74,0.26,66545,0
